Year,Value
1946,2.5
1947,8.8
1948,-0.2
1949,-3.8
1950,-4.2
1951,-3.9
1952,-2.6
1953,13.1
1954,6.7
1955,7.3
1956,0.3
1957,-2.3
1958,5.5
1959,-0.1
1960,1.1
1961,-1.8
1962,6.4
1963,8.2
1964,8.0
1965,5.4
1966,6.9
1967,-2.8
1968,-6.7
1969,1.5
1970,6.8
1971,12.0
1972,4.6
1973,5.3
1974,4.3
1975,-0.6
1976,4.9
1977,8.0
1978,5.2
1979,3.9
1980,4.6
1981,3.1
1982,0.8
1983,-3.4
1984,3.1
1985,2.5
1986,5.5
1987,7.3
1988,-1.7
1989,-0.9
1990,0.4
1991,-1.5
1992,-4.5
1993,0.3
1994,2.7
1995,-0.4
1996,4.2
1997,3.2
1998,6.0
1999,2.8
2000,3.4
2001,2.5
2002,-0.2
2003,1.7
2004,6.8
2005,5.2
2006,2.3
2007,6.9
2008,-0.5
2009,-6.7
2010,-3.1
2011,1.6
2012,0.8
2013,3.2
2014,1.0
2015,3.7
2016,5.2
2017,2.2
2018,1.7
