Year,Group,Value
2013,,1.69
2013,Enterprises,0.95
2013,Tertiary education institutions,0.63
2013,Government institutions (excluding universities),0.12
2014,,1.94
2014,Enterprises,1.18
2014,Tertiary education institutions,0.64
2014,Government institutions (excluding universities),0.12
2015,,2.18
2015,Enterprises,1.44
2015,Tertiary education institutions,0.64
2015,Government institutions (excluding universities),0.1
2016,,2.11
2016,Enterprises,1.36
2016,Tertiary education institutions,0.65
2016,Government institutions (excluding universities),0.1
2017,,2.08
2017,Enterprises,1.34
2017,Tertiary education institutions,0.66
2017,Government institutions (excluding universities),0.09
2018,,2.01
2018,Enterprises,1.29
2018,Tertiary education institutions,0.63
2018,Government institutions (excluding universities),0.08
2019,,2.35
2019,Enterprises,1.61
2019,Tertiary education institutions,0.66
2019,Government institutions (excluding universities),0.07
