Year,Gender,Value
2003,,4.90
2003,Males,4.60
2003,Females,5.10
2004,,5.50
2004,Males,4.30
2004,Females,6.80
2005,,4.60
2005,Males,4.60
2005,Females,4.60
2006,,4.70
2006,Males,3.60
2006,Females,5.90
2007,,4.00
2007,Males,3.30
2007,Females,4.80
2008,,4.50
2008,Males,4.30
2008,Females,4.70
2009,,7.70
2009,Males,9.20
2009,Females,6.00
2010,,7.40
2010,Males,7.60
2010,Females,7.20
2011,,6.70
2011,Males,7.60
2011,Females,5.80
2012,,5.90
2012,Males,7.00
2012,Females,4.80
2013,,5.50
2013,Males,6.80
2013,Females,4.10
2014,,5.70
2014,Males,6.10
2014,Females,5.30
2015,,4.60
2015,Males,5.90
2015,Females,3.20
2016,,4.10
2016,Males,4.60
2016,Females,3.70
2017,,3.90
2017,Males,3.90
2017,Females,3.80
2018,,4.90
2018,Males,4.50
2018,Females,5.40
