Year,Gender,Value
2003,Total,4.9
2003,Males,4.6
2003,Females,5.1
2004,Total,5.5
2004,Males,4.3
2004,Females,6.8
2005,Total,4.6
2005,Males,4.6
2005,Females,4.6
2006,Total,4.7
2006,Males,3.6
2006,Females,5.9
2007,Total,4.0
2007,Males,3.3
2007,Females,4.8
2008,Total,4.5
2008,Males,4.3
2008,Females,4.7
2009,Total,7.7
2009,Males,9.2
2009,Females,6.0
2010,Total,7.4
2010,Males,7.6
2010,Females,7.2
2011,Total,6.7
2011,Males,7.6
2011,Females,5.8
2012,Total,5.9
2012,Males,7.0
2012,Females,4.8
2013,Total,5.5
2013,Males,6.8
2013,Females,4.1
2014,Total,5.7
2014,Males,6.1
2014,Females,5.3
2015,Total,4.6
2015,Males,5.9
2015,Females,3.2
2016,Total,4.1
2016,Males,4.6
2016,Females,3.7
2017,Total,3.9
2017,Males,3.9
2017,Females,3.8
2018,Total,4.9
2018,Males,4.5
2018,Females,5.4
