Year,Group,Value
2004,All,10
2004,<18 years,11.5
2004,Males,9.6
2004,Females,10.5
2005,All,9.7
2005,<18 years,10.1
2005,Males,9.8
2005,Females,9.6
2006,All,9.6
2006,<18 years,11.6
2006,Males,9.1
2006,Females,10.2
2007,All,10.1
2007,<18 years,11.9
2007,Males,9.1
2007,Females,11
2008,All,10.1
2008,<18 years,11.2
2008,Males,9.5
2008,Females,10.7
2009,All,10.2
2009,<18 years,9.9
2009,Males,9.3
2009,Females,11.1
2010,All,9.8
2010,<18 years,12.6
2010,Males,9.8
2010,Females,9.8
2011,All,9.2
2011,<18 years,11.2
2011,Males,9
2011,Females,9.5
2012,All,7.9
2012,<18 years,10
2012,Males,8.4
2012,Females,7.5
2013,All,9.3
2013,<18 years,12.2
2013,Males,9.6
2013,Females,8.9
2014,All,7.9
2014,<18 years,10
2014,Males,8.1
2014,Females,7.7
2015,All,9.2
2015,<18 years,11.3
2015,Males,9.3
2015,Females,9.1
2016,All,8.8
2016,<18 years,10.4
2016,Males,8.5
2016,Females,9.1
